pickup_node,dropoff_node,manhattan_distance,taxi_duration,bus_duration,buses,unique_buses,bus_ride_distance,walking_distance
42430235,42428411,2180,300,1699,0,0,0,2038
4205565490,42435422,2454,720,1911,2,2,1280,1679
42434270,42432156,2852,540,2025,1,1,1810,1562
42445888,2183010557,6595,745,3929,2,2,3664,2956
5784518537,3977886253,5270,2046,3385,1,1,1793,3201
4782506031,3932847295,1929,720,1622,1,1,849,1539
42452973,4550867479,1589,1320,1245,1,1,1833,614
42436407,42436942,2112,464,1517,2,2,1034,1324
42429918,42435657,3064,960,1849,2,2,2202,1161
4117109189,4016646249,708,323,533,0,0,0,640
42430350,5851792229,1764,480,1521,1,1,626,1525
42431151,2714805487,4085,747,2888,3,3,2636,2200
4259273041,4493840520,1041,360,941,0,0,0,1130
42442078,42436784,1460,677,1005,1,1,588,923
42431453,42440353,4548,720,2823,1,1,566,3116
42430861,42434821,2696,900,1795,1,1,1415,1475
42435660,2709703008,1193,780,887,1,1,849,657
5152337879,3875120004,4482,1080,3324,2,2,4724,1722
42429394,42442273,2245,840,1536,1,1,588,1561
42436427,4872879376,3027,420,2178,1,1,1379,1952
5215013210,42454642,2870,600,2120,0,0,0,2544
42439823,42439527,1738,335,1284,1,1,1379,879
593915310,42443671,2685,709,2110,1,1,1150,1980
3977886255,42445404,2598,889,1496,1,1,558,1527
42430691,3584752497,3990,1049,2873,2,2,2696,2154
42430550,2714805487,6769,1380,3939,1,1,2947,3312
3686061923,3522432774,2215,625,1896,2,1,1430,1589
42453952,42430295,5702,600,3229,2,2,2527,2662
390519635,42439836,1651,540,1003,0,0,0,1204
42429373,42433577,1856,1140,1221,0,0,0,1465
5178688284,4560056043,4763,891,2735,1,1,2422,2119
4015192928,42436942,4316,540,2750,0,0,0,3300
42427423,3875091626,2232,480,1646,1,1,983,1504
5035490054,5402554392,8593,1260,4971,4,4,4692,3713
3977886237,1758380526,841,369,772,0,0,0,926
42445926,42437914,3329,600,2446,2,2,1122,2396
4207957613,4782363334,1013,133,769,0,0,0,923
4207938835,5916783970,1486,840,1300,1,1,665,1240
42428546,5008036416,1049,240,698,0,0,0,838
42429373,5805243783,2066,540,1521,1,1,1686,1017
5545401595,5846916772,2417,425,1669,1,1,857,1591
3847026393,42432073,3198,900,2540,1,1,4060,1099
42439272,42429412,1590,420,1343,0,0,0,1611
1289222390,4747401774,3158,900,2013,2,2,1990,1460
4488597394,3977886190,2145,420,1664,1,1,1833,1117
5402554392,5178688282,1579,773,1432,0,0,0,1718
